track,split,model,L1,rmse,pearson,spearman
closed,train,baseline_closed_cn,cn,0.8602941064949655,0.8674634475600553,0.8733448282737967
closed,train,baseline_closed_de,de,0.7933325750063128,0.9250042064573748,0.9350037467883326
closed,train,baseline_closed_es,es,0.843311105214909,0.9163085609998105,0.9230082092873019
open,train,baseline_open_xx,es,0.619551016045406,0.9485528820215235,0.9535414394449051
open,train,baseline_open_xx,de,0.6113762659671675,0.9484433242856123,0.9533632834887728
open,train,baseline_open_xx,cn,0.5896666504139638,0.9396352675538329,0.9417081348320029
